ID,Gene Symbol
1007_PM_s_at,DDR1
1053_PM_at,RFC2
117_PM_at,HSPA6
121_PM_at,PAX8
1255_PM_g_at,GUCA1A
1294_PM_at,UBA7
1316_PM_at,THRA
1320_PM_at,PTPN21
1405_PM_i_at,CCL5
1431_PM_at,CYP2E1
1438_PM_at,EPHB3
1487_PM_at,ESRRA
1494_PM_f_at,CYP2A6
1552256_PM_a_at,SCARB1
1552257_PM_a_at,TTLL12
1552258_PM_at,NCRNA00152
1552261_PM_at,WFDC2
1552263_PM_at,MAPK1
1552264_PM_a_at,MAPK1
1552266_PM_at,ADAM32
1552269_PM_at,SPATA17
1552271_PM_at,PRR22
1552272_PM_a_at,PRR22
1552274_PM_at,PXK
1552275_PM_s_at,PXK
1552276_PM_a_at,VPS18
1552277_PM_a_at,C9orf30
1552278_PM_a_at,SLC46A1
1552279_PM_a_at,SLC46A1
1552280_PM_at,TIMD4
1552281_PM_at,SLC39A5
1552283_PM_s_at,ZDHHC11
1552286_PM_at,ATP6V1E2
1552287_PM_s_at,AFG3L1
1552288_PM_at,CILP2
1552289_PM_a_at,CILP2
1552291_PM_at,PIGX
1552293_PM_at,TMEM196
1552295_PM_a_at,SLC39A13
1552296_PM_at,BEST4
1552299_PM_at,AKD1
1552301_PM_a_at,CORO6
1552302_PM_at,TMEM106A
1552303_PM_a_at,TMEM106A
1552304_PM_at,ALG10
1552306_PM_at,ALG10
1552307_PM_a_at,TTC39C
1552309_PM_a_at,NEXN
1552310_PM_at,C15orf40
1552311_PM_a_at,RAX2
1552312_PM_a_at,MFAP3
1552314_PM_a_at,EYA3
1552315_PM_at,GIMAP1
1552316_PM_a_at,GIMAP1
1552318_PM_at,GIMAP1
1552319_PM_a_at,KLK8
1552320_PM_a_at,CCDC65
1552321_PM_a_at,CCDC65
1552322_PM_at,FAM122C
1552323_PM_s_at,FAM122C
1552325_PM_at,CCDC11
1552326_PM_a_at,CCDC11
1552327_PM_at,ARMCX4
1552329_PM_at,RBBP6
1552330_PM_at,CENPBD1
1552332_PM_at,TRIOBP
1552334_PM_at,TRIOBP
1552335_PM_at,CATSPER1
1552337_PM_s_at,HOXD4
1552338_PM_at,GSC
1552340_PM_at,SP7
1552343_PM_s_at,PDE7A
1552344_PM_s_at,CNOT7
1552347_PM_at,CRYZL1
1552348_PM_at,PRSS33
1552349_PM_a_at,PRSS33
1552354_PM_at,C19orf26
1552355_PM_s_at,C19orf26
1552359_PM_at,C8orf45
1552360_PM_a_at,TIRAP
1552362_PM_a_at,LEAP2
1552364_PM_s_at,MSI2
1552365_PM_at,SCIN
1552367_PM_a_at,SCIN
1552368_PM_at,CTCFL
1552370_PM_at,C4orf33
1552372_PM_at,C4orf33
1552373_PM_s_at,C4orf33
1552375_PM_at,ZNF333
1552377_PM_s_at,FAM18B2
1552378_PM_s_at,RDH10
1552379_PM_at,RDH10
1552381_PM_at,SFRS13B
1552383_PM_at,FAM71A
1552384_PM_a_at,FAM71A
1552386_PM_at,GAPT
1552388_PM_at,FLJ30901
1552389_PM_at,C8orf47
1552390_PM_a_at,C8orf47
1552391_PM_at,C1orf65
1552393_PM_at,ENTHD1
1552394_PM_a_at,ENTHD1
1552395_PM_at,TSSK3
1552396_PM_at,WFDC6
1552398_PM_a_at,CLEC12A /// CLEC12B
1552399_PM_a_at,BRF1
1552400_PM_a_at,C15orf27
1552401_PM_a_at,C21orf41
1552402_PM_at,CALML6
1552405_PM_at,NLRP5
1552408_PM_at,ODF4
1552409_PM_a_at,ODF4
1552410_PM_at,CLEC4F
1552411_PM_at,DEFB106A /// DEFB106B
1552412_PM_a_at,DEFB106A /// DEFB106B
1552414_PM_at,WFDC9
1552415_PM_a_at,WFDC9
1552417_PM_a_at,NEDD1
1552418_PM_at,TTLL10
1552419_PM_s_at,TTLL10
1552421_PM_a_at,CALR3
1552422_PM_at,C10orf25
1552423_PM_at,ETV3
1552424_PM_at,KLHL10
1552425_PM_a_at,KLHL10
1552426_PM_a_at,TM2D3
1552427_PM_at,ZNF485
1552430_PM_at,WDR17
1552432_PM_at,MFSD6L
1552436_PM_a_at,CDH23
1552438_PM_a_at,ANKAR
1552439_PM_s_at,MEGF11
1552440_PM_at,GPR182
1552445_PM_a_at,ESX1
1552448_PM_a_at,C8orf12
1552449_PM_a_at,SCGB1C1
1552450_PM_a_at,DNAJC5G
1552452_PM_at,WDR88
1552453_PM_a_at,WDR88
1552455_PM_at,PRUNE2
1552456_PM_a_at,MBD3L2
1552457_PM_a_at,ADAMTSL1
1552458_PM_at,MBD3L1
1552459_PM_a_at,MBD3L1
1552461_PM_at,FAM46D
1552463_PM_at,SERPINB11
1552466_PM_x_at,NCRNA00161
1552467_PM_at,DSCR10
1552468_PM_a_at,DSCR10
1552470_PM_a_at,ABHD11
1552472_PM_a_at,ACAP2
1552473_PM_at,GAMT
1552474_PM_a_at,GAMT
1552476_PM_s_at,PLCD3
1552477_PM_a_at,IRF6
1552478_PM_a_at,IRF6
1552480_PM_s_at,PTPRC
1552481_PM_s_at,MAN1A2
1552482_PM_at,RAPH1
1552484_PM_at,SMCR8
1552485_PM_at,LACTB
1552486_PM_s_at,LACTB
1552487_PM_a_at,BNC1
1552489_PM_s_at,MPP4
1552490_PM_at,LACE1
1552491_PM_at,IDI2
1552493_PM_s_at,CYP11B1
